能力ID,类型,触发器,冷却,参数名1,参数1,参数名2,参数2,参数名3,参数3,持续时间,名字,描述,所属流派,稀有度,可选次数,武器通用能力,是否基础能力,是否进图鉴,是否正常投放
9000,spawnBomb,move,10,,1,,0,,,,移动炸弹,移动10步后，留下1个炸弹,1200,,,,,,
9001,spawnBomb,atk,10,,1,,1,,,,进攻炸弹,攻击10次后，扔出1个炸弹,1200,,,,,,
9002,spawnBomb,hurt,0,,2,,1,,,,莫挨劳资,受伤后，扔出2个炸弹,1200,,,,,,
9003,spawnBomb,turn,50,,5,,5,,,,狂轰滥炸,每50回合，炸弹狂欢秀！,1200,2,,,,,
,,,,,,,,,,,,,,,,,,,
9005,passive,,,playerBoomDisAdd,1,playerBoomAimAdd,3,,,,延时引爆,炸弹引爆回合+3，范围+1,1200,,,,FALSE,,
9006,passive,,,bombSpawnAdd,1,,,,,,双重引线,炸弹召唤时数量+1,1200,3,,,FALSE,,
9007,passive,,,bombAtkByPlayer,1,,,,,,起爆器,炸弹不再自动引爆，而是按下道具键主动引爆,1200,2,1,,FALSE,,
9008,passive,,,bombAimEnemy,1,,,,,,小鸡炸弹,小鸡自动寻找太美的敌人,1200,3,1,,FALSE,,
9009,passive,,,playerBoomDisAdd,1,,,,,,火力炸弹,炸弹爆炸范围+1,1200,2,,,FALSE,,
9010,passive,,,bombAtkAdd,5,,,,,,强力炸弹,炸弹伤害+5,1200,,,,FALSE,,
9011,passive,,,playerBombReduce1,1,,,,,,智慧炸弹,炸弹对友军最多伤害1,1200,,1,,FALSE,,
9014,passive,,,bombCure,1,,,,,,吸血炸弹,炸弹每击中1个敌人，回复1血,1200,3,1,,FALSE,,
9015,passive,,,bombPushDmg,14,,,,,,胖胖炸弹,天呐！炸弹的推动伤害高达20点！！！,1200,2,,,FALSE,,
9017,spawnBomb,levelStartFront,0,,1,,5,,,,炸裂登场,开局前10回合，每回合扔出炸弹,1200,,,,,,
9018,passive,,,bombUnderGround,1,,,,,,地雷炸弹,炸弹会埋在地里，等待它的猎物,1200,3,1,,FALSE,,
9019,spawnBomb,activeSkill,,,1,,,,,,炸弹堂,按道具键，原地留下1个炸弹,1200,2,,,,,
9020,passive,,,playerBoomDisAdd,1,playerBoomAimAdd,-3,bombFireWorkEffect,1,,烟花炸弹,炸弹像烟花一样绽放，范围+1，引爆回合-3,1200,3,,,FALSE,,FALSE
,,,,,,,,,,,,,,,,,,,
9050,spawnBat,atk,3,,,,,,,,蝙蝠出击,攻击3次后，发射蝙蝠,1201,,,,,,
9051,spawnBat,environmentDead,1,,,,,,,,隐匿蝙蝠,场景死亡后，召唤蝙蝠,1201,3,1,,,,
9052,spawnBat,onRightInput,2,,,,,,,,右右蝠,按右键2次后，发射蝙蝠,1201,2,,,,,
9054,passive,,,batOverLapNum,2,,,,,,贯穿蝙蝠,蝙蝠贯穿次数+2,1201,,,,FALSE,,
9055,passive,,,batShootSlant,1,,,,,,散射蝙蝠,每次还会向左右散射蝙蝠,1201,,1,,FALSE,,
9056,passive,,,batShootBack,1,,,,,,背射蝙蝠,每次还会向背后发射蝙蝠,1201,,1,,FALSE,,
9057,passive,,,batShootNum,1,,,,,,蝙蝠大军,每次发射蝙蝠的数量+1,1201,3,,,FALSE,,
9058,passive,,,batShootDirOnlyUp,1,batOverLapNum,2,,,,永远向上,所有蝙蝠只向上移动，贯穿+2,1201,2,1,,FALSE,,
